SPS: 102
Market Return : 59.13%   |   Portfolio Return : -35.55%   |   position : -1   |   portfolio_valuation : 644.517059323803   |
Market Return : 59.13%   |   Portfolio Return : -32.50%   |   position : 0   |   portfolio_valuation : 674.9854243603407   |
Market Return : 59.13%   |   Portfolio Return : 41.76%   |   position : 0   |   portfolio_valuation : 1417.5634650797083   |
Market Return : 59.13%   |   Portfolio Return : -9.85%   |   position : 0   |   portfolio_valuation : 901.4744312860929   |
Market Return : 59.13%   |   Portfolio Return : -15.43%   |   position : 1   |   portfolio_valuation : 845.7188881302961   |
Market Return : 59.13%   |   Portfolio Return : 54.34%   |   position : 0   |   portfolio_valuation : 1543.3749693181735   |
Market Return : 59.13%   |   Portfolio Return : -28.98%   |   position : 1   |   portfolio_valuation : 710.1997802839578   |
Market Return : 59.13%   |   Portfolio Return : 21.51%   |   position : -1   |   portfolio_valuation : 1215.0682208210833   |
Market Return : 59.13%   |   Portfolio Return : 81.12%   |   position : 1   |   portfolio_valuation : 1811.2427244616254   |
Market Return : 59.13%   |   Portfolio Return : -5.03%   |   position : -1   |   portfolio_valuation : 949.6576741654219   |
Market Return : 59.13%   |   Portfolio Return :  9.03%   |   position : -1   |   portfolio_valuation : 1090.285581982443   |
Market Return : 59.13%   |   Portfolio Return : -22.58%   |   position : 0   |   portfolio_valuation : 774.1594913389314   |
Market Return : 59.13%   |   Portfolio Return :  2.57%   |   position : 0   |   portfolio_valuation : 1025.673136991113   |
Market Return : 59.13%   |   Portfolio Return : -1.32%   |   position : 1   |   portfolio_valuation : 986.8051878691564   |
Market Return : 59.13%   |   Portfolio Return : -0.52%   |   position : 1   |   portfolio_valuation : 994.7939016543668   |
Market Return : 59.13%   |   Portfolio Return : 10.96%   |   position : 1   |   portfolio_valuation : 1109.6333562393793   |
Market Return : 59.13%   |   Portfolio Return : -21.89%   |   position : -1   |   portfolio_valuation : 781.0985631503069   |
Market Return : 59.13%   |   Portfolio Return : -2.35%   |   position : 0   |   portfolio_valuation : 976.5482938844314   |
Market Return : 59.13%   |   Portfolio Return : -21.37%   |   position : -1   |   portfolio_valuation : 786.3472665707516   |
Market Return : 59.13%   |   Portfolio Return : -51.69%   |   position : 0   |   portfolio_valuation : 483.11471664164594   |
Market Return : 59.13%   |   Portfolio Return : -45.42%   |   position : -1   |   portfolio_valuation : 545.8365935657383   |
Market Return : 59.13%   |   Portfolio Return : -41.58%   |   position : 0   |   portfolio_valuation : 584.1649033111977   |
SPS: 93
SPS: 93
SPS: 93
SPS: 93
SPS: 93
SPS: 93
SPS: 90
SPS: 89
SPS: 90
SPS: 90
SPS: 90
Market Return : 59.13%   |   Portfolio Return :  6.16%   |   position : -1   |   portfolio_valuation : 1061.5691270664133   |
Market Return : 59.13%   |   Portfolio Return : -36.79%   |   position : -1   |   portfolio_valuation : 632.0930113717841   |
Market Return : 59.13%   |   Portfolio Return : -41.04%   |   position : 1   |   portfolio_valuation : 589.5714815858215   |
Market Return : 59.13%   |   Portfolio Return : -4.73%   |   position : 1   |   portfolio_valuation : 952.6643762783127   |
Market Return : 59.13%   |   Portfolio Return : -38.08%   |   position : -1   |   portfolio_valuation : 619.2325147121999   |
Market Return : 59.13%   |   Portfolio Return : -34.13%   |   position : 0   |   portfolio_valuation : 658.7327366434454   |
Market Return : 59.13%   |   Portfolio Return : -27.67%   |   position : -1   |   portfolio_valuation : 723.301650835342   |
Market Return : 59.13%   |   Portfolio Return : -64.36%   |   position : -1   |   portfolio_valuation : 356.4294021697086   |
Market Return : 59.13%   |   Portfolio Return : 51.71%   |   position : 1   |   portfolio_valuation : 1517.1026502495242   |
Market Return : 59.13%   |   Portfolio Return : -29.97%   |   position : 1   |   portfolio_valuation : 700.2780922199198   |
Market Return : 59.13%   |   Portfolio Return : -26.74%   |   position : 1   |   portfolio_valuation : 732.5529750060875   |
Market Return : 59.13%   |   Portfolio Return : -8.09%   |   position : 0   |   portfolio_valuation : 919.0672082232928   |
Market Return : 59.13%   |   Portfolio Return : -2.83%   |   position : -1   |   portfolio_valuation : 971.6686161494262   |
Market Return : 59.13%   |   Portfolio Return : 98.86%   |   position : -1   |   portfolio_valuation : 1988.5901002482926   |
Market Return : 59.13%   |   Portfolio Return : -19.12%   |   position : -1   |   portfolio_valuation : 808.8086652816911   |
Market Return : 59.13%   |   Portfolio Return : -5.99%   |   position : 0   |   portfolio_valuation : 940.064340086261   |
Market Return : 59.13%   |   Portfolio Return :  5.75%   |   position : 0   |   portfolio_valuation : 1057.5486416515723   |
Market Return : 59.13%   |   Portfolio Return : -50.30%   |   position : -1   |   portfolio_valuation : 496.966439841513   |
Market Return : 59.13%   |   Portfolio Return : -15.96%   |   position : 1   |   portfolio_valuation : 840.3801062367007   |
Market Return : 59.13%   |   Portfolio Return : -10.90%   |   position : 1   |   portfolio_valuation : 890.9842387116197   |
Market Return : 59.13%   |   Portfolio Return : 35.21%   |   position : -1   |   portfolio_valuation : 1352.1046976935932   |
Market Return : 59.13%   |   Portfolio Return : -28.15%   |   position : -1   |   portfolio_valuation : 718.4564166433727   |
Market Return : 59.13%   |   Portfolio Return : -1.06%   |   position : 1   |   portfolio_valuation : 989.4146957997584   |
Market Return : 59.13%   |   Portfolio Return : -40.18%   |   position : 0   |   portfolio_valuation : 598.1761811872093   |
Market Return : 59.13%   |   Portfolio Return : -23.34%   |   position : -1   |   portfolio_valuation : 766.5924939277668   |
Market Return : 59.13%   |   Portfolio Return : -0.87%   |   position : 1   |   portfolio_valuation : 991.312804513542   |
Market Return : 59.13%   |   Portfolio Return :  9.05%   |   position : 0   |   portfolio_valuation : 1090.4629331086812   |
Market Return : 59.13%   |   Portfolio Return : 33.08%   |   position : -1   |   portfolio_valuation : 1330.7702082735034   |
Market Return : 59.13%   |   Portfolio Return : -24.51%   |   position : 0   |   portfolio_valuation : 754.8785604724774   |
Market Return : 59.13%   |   Portfolio Return : -39.58%   |   position : -1   |   portfolio_valuation : 604.2256707115706   |
Market Return : 59.13%   |   Portfolio Return :  1.73%   |   position : 1   |   portfolio_valuation : 1017.341800745663   |
Market Return : 59.13%   |   Portfolio Return : 16.10%   |   position : 0   |   portfolio_valuation : 1161.0473416166305   |
Market Return : 59.13%   |   Portfolio Return : -39.65%   |   position : 1   |   portfolio_valuation : 603.457521817014   |
Market Return : 59.13%   |   Portfolio Return : -53.51%   |   position : 1   |   portfolio_valuation : 464.90114146292007   |
Market Return : 59.13%   |   Portfolio Return : -30.60%   |   position : 0   |   portfolio_valuation : 693.9954070807369   |
Market Return : 59.13%   |   Portfolio Return : -0.82%   |   position : -1   |   portfolio_valuation : 991.8150672557615   |
Market Return : 59.13%   |   Portfolio Return : -26.75%   |   position : 1   |   portfolio_valuation : 732.5447313390946   |
Market Return : 59.13%   |   Portfolio Return : 23.48%   |   position : 0   |   portfolio_valuation : 1234.759324038588   |
Market Return : 59.13%   |   Portfolio Return : 41.97%   |   position : 1   |   portfolio_valuation : 1419.741125577938   |
Market Return : 59.13%   |   Portfolio Return : 26.43%   |   position : 0   |   portfolio_valuation : 1264.3425900837717   |
Market Return : 59.13%   |   Portfolio Return : -40.35%   |   position : -1   |   portfolio_valuation : 596.4560235543223   |
Market Return : 59.13%   |   Portfolio Return : -10.38%   |   position : 0   |   portfolio_valuation : 896.160006360292   |
